typo_word,correct_word,typo_type,mistake_position,edit_distance,word_length,typo_length,length_difference,same_first_letter,is_last_letter_error
projetc,project,swap_last_two_letters,last2,2,7,7,0,1,1
projewct,project,insert_near_ending,last3,1,7,8,-1,1,1
projbect,project,insert_near_ending,last3,1,7,8,-1,1,1
project,project,no_typo,none,0,7,7,0,1,0
studwnt,student,replace_last_letter,last3,1,7,7,0,1,1
studnt,student,delete_last_letter,last3,1,7,6,1,1,1
studeht,student,replace_last_letter,last2,1,7,7,0,1,1
studet,student,delete_last_letter,last2,1,7,6,1,1,1
studenz,student,replace_last_letter,last1,1,7,7,0,1,1
studen,student,delete_last_letter,last1,1,7,6,1,1,1
studetn,student,swap_last_two_letters,last2,2,7,7,0,1,1
studenct,student,insert_near_ending,last3,1,7,8,-1,1,1
studednt,student,insert_near_ending,last3,1,7,8,-1,1,1
student,student,no_typo,none,0,7,7,0,1,0
teacner,teacher,replace_last_letter,last3,1,7,7,0,1,1
teacer,teacher,delete_last_letter,last3,1,7,6,1,1,1
teachjr,teacher,replace_last_letter,last2,1,7,7,0,1,1
teachr,teacher,delete_last_letter,last2,1,7,6,1,1,1
teacheo,teacher,replace_last_letter,last1,1,7,7,0,1,1
teache,teacher,delete_last_letter,last1,1,7,6,1,1,1
teachre,teacher,swap_last_two_letters,last2,2,7,7,0,1,1
teachefr,teacher,insert_near_ending,last3,1,7,8,-1,1,1
teachelr,teacher,insert_near_ending,last3,1,7,8,-1,1,1
teacher,teacher,no_typo,none,0,7,7,0,1,0
schgol,school,replace_last_letter,last3,1,6,6,0,1,1
schol,school,delete_last_letter,last3,1,6,5,1,1,1
schowl,school,replace_last_letter,last2,1,6,6,0,1,1
schooi,school,replace_last_letter,last1,1,6,6,0,1,1
schoo,school,delete_last_letter,last1,1,6,5,1,1,1
scholo,school,swap_last_two_letters,last2,2,6,6,0,1,1
schtool,school,insert_near_ending,last3,1,6,7,-1,1,1
schorol,school,insert_near_ending,last3,1,6,7,-1,1,1
school,school,no_typo,none,0,6,6,0,1,0
universyty,university,replace_last_letter,last3,1,10,10,0,1,1
universty,university,delete_last_letter,last3,1,10,9,1,1,1
universihy,university,replace_last_letter,last2,1,10,10,0,1,1
universiy,university,delete_last_letter,last2,1,10,9,1,1,1
universitf,university,replace_last_letter,last1,1,10,10,0,1,1
universit,university,delete_last_letter,last1,1,10,9,1,1,1
universiyt,university,swap_last_two_letters,last2,2,10,10,0,1,1
universitym,university,insert_near_ending,last3,1,10,11,-1,1,1
universituy,university,insert_near_ending,last3,1,10,11,-1,1,1
university,university,no_typo,none,0,10,10,0,1,0
compuxer,computer,replace_last_letter,last3,1,8,8,0,1,1
compuer,computer,delete_last_letter,last3,1,8,7,1,1,1
computsr,computer,replace_last_letter,last2,1,8,8,0,1,1
computr,computer,delete_last_letter,last2,1,8,7,1,1,1
computeh,computer,replace_last_letter,last1,1,8,8,0,1,1
compute,computer,delete_last_letter,last1,1,8,7,1,1,1
computre,computer,swap_last_two_letters,last2,2,8,8,0,1,1
computeyr,computer,insert_near_ending,last3,1,8,9,-1,1,1
compuhter,computer,insert_near_ending,last3,1,8,9,-1,1,1
computer,computer,no_typo,none,0,8,8,0,1,0
sciebce,science,replace_last_letter,last3,1,7,7,0,1,1
sciece,science,delete_last_letter,last3,1,7,6,1,1,1
scienle,science,replace_last_letter,last2,1,7,7,0,1,1
sciene,science,delete_last_letter,last2,1,7,6,1,1,1
sciencn,science,replace_last_letter,last1,1,7,7,0,1,1
scienc,science,delete_last_letter,last1,1,7,6,1,1,1
scienec,science,swap_last_two_letters,last2,2,7,7,0,1,1
sciencce,science,insert_near_ending,last3,1,7,8,-1,1,1
sciensce,science,insert_near_ending,last3,1,7,8,-1,1,1
science,science,no_typo,none,0,7,7,0,1,0
messxge,message,replace_last_letter,last3,1,7,7,0,1,1
messge,message,delete_last_letter,last3,1,7,6,1,1,1
messale,message,replace_last_letter,last2,1,7,7,0,1,1
messae,message,delete_last_letter,last2,1,7,6,1,1,1
messagh,message,replace_last_letter,last1,1,7,7,0,1,1
messag,message,delete_last_letter,last1,1,7,6,1,1,1
messaeg,message,swap_last_two_letters,last2,2,7,7,0,1,1
messagem,message,insert_near_ending,last3,1,7,8,-1,1,1
messagee,message,insert_near_ending,last3,1,7,8,-1,1,1
message,message,no_typo,none,0,7,7,0,1,0
emjil,email,replace_last_letter,last3,1,5,5,0,1,1
emil,email,delete_last_letter,last3,1,5,4,1,1,1
emael,email,replace_last_letter,last2,1,5,5,0,1,1
emal,email,delete_last_letter,last2,1,5,4,1,1,1
emaih,email,replace_last_letter,last1,1,5,5,0,1,1
emai,email,delete_last_letter,last1,1,5,4,1,1,1
emali,email,swap_last_two_letters,last2,2,5,5,0,1,1
emaixl,email,insert_near_ending,last3,1,5,6,-1,1,1
emails,email,insert_near_ending,last3,1,5,6,-1,1,1
email,email,no_typo,none,0,5,5,0,1,0
phmne,phone,replace_last_letter,last3,1,5,5,0,1,1
phne,phone,delete_last_letter,last3,1,5,4,1,1,1
phole,phone,replace_last_letter,last2,1,5,5,0,1,1
phoe,phone,delete_last_letter,last2,1,5,4,1,1,1
phoni,phone,replace_last_letter,last1,1,5,5,0,1,1
phon,phone,delete_last_letter,last1,1,5,4,1,1,1
phoen,phone,swap_last_two_letters,last2,2,5,5,0,1,1
phoqne,phone,insert_near_ending,last3,1,5,6,-1,1,1
phonec,phone,insert_near_ending,last3,1,5,6,-1,1,1
phone,phone,no_typo,none,0,5,5,0,1,0
numzer,number,replace_last_letter,last3,1,6,6,0,1,1
numer,number,delete_last_letter,last3,1,6,5,1,1,1
numbbr,number,replace_last_letter,last2,1,6,6,0,1,1
numbr,number,delete_last_letter,last2,1,6,5,1,1,1
numbed,number,replace_last_letter,last1,1,6,6,0,1,1
numbe,number,delete_last_letter,last1,1,6,5,1,1,1
numbre,number,swap_last_two_letters,last2,2,6,6,0,1,1
numbuer,number,insert_near_ending,last3,1,6,7,-1,1,1
numbzer,number,insert_near_ending,last3,1,6,7,-1,1,1
number,number,no_typo,none,0,6,6,0,1,0
friwnd,friend,replace_last_letter,last3,1,6,6,0,1,1
frind,friend,delete_last_letter,last3,1,6,5,1,1,1
frieod,friend,replace_last_letter,last2,1,6,6,0,1,1
fried,friend,delete_last_letter,last2,1,6,5,1,1,1
frienu,friend,replace_last_letter,last1,1,6,6,0,1,1
frien,friend,delete_last_letter,last1,1,6,5,1,1,1
friedn,friend,swap_last_two_letters,last2,2,6,6,0,1,1
frimend,friend,insert_near_ending,last3,1,6,7,-1,1,1
friendt,friend,insert_near_ending,last3,1,6,7,-1,1,1
friend,friend,no_typo,none,0,6,6,0,1,0
famply,family,replace_last_letter,last3,1,6,6,0,1,1
famly,family,delete_last_letter,last3,1,6,5,1,1,1
famiry,family,replace_last_letter,last2,1,6,6,0,1,1
famiy,family,delete_last_letter,last2,1,6,5,1,1,1
famili,family,replace_last_letter,last1,1,6,6,0,1,1
famil,family,delete_last_letter,last1,1,6,5,1,1,1
famiyl,family,swap_last_two_letters,last2,2,6,6,0,1,1
famvily,family,insert_near_ending,last3,1,6,7,-1,1,1
family,family,no_typo,none,0,6,6,0,1,0
horse,house,replace_last_letter,last3,1,5,5,0,1,1
hose,house,delete_last_letter,last3,1,5,4,1,1,1
houze,house,replace_last_letter,last2,1,5,5,0,1,1
houe,house,delete_last_letter,last2,1,5,4,1,1,1
housj,house,replace_last_letter,last1,1,5,5,0,1,1
hous,house,delete_last_letter,last1,1,5,4,1,1,1
houes,house,swap_last_two_letters,last2,2,5,5,0,1,1
housde,house,insert_near_ending,last3,1,5,6,-1,1,1
housne,house,insert_near_ending,last3,1,5,6,-1,1,1
house,house,no_typo,none,0,5,5,0,1,0
mofey,money,replace_last_letter,last3,1,5,5,0,1,1
moey,money,delete_last_letter,last3,1,5,4,1,1,1
monpy,money,replace_last_letter,last2,1,5,5,0,1,1
mony,money,delete_last_letter,last2,1,5,4,1,1,1
monea,money,replace_last_letter,last1,1,5,5,0,1,1
mone,money,delete_last_letter,last1,1,5,4,1,1,1
monye,money,swap_last_two_letters,last2,2,5,5,0,1,1
moneqy,money,insert_near_ending,last3,1,5,6,-1,1,1
monqey,money,insert_near_ending,last3,1,5,6,-1,1,1
money,money,no_typo,none,0,5,5,0,1,0
creeit,credit,replace_last_letter,last3,1,6,6,0,1,1
creit,credit,delete_last_letter,last3,1,6,5,1,1,1
credvt,credit,replace_last_letter,last2,1,6,6,0,1,1
credt,credit,delete_last_letter,last2,1,6,5,1,1,1
credij,credit,replace_last_letter,last1,1,6,6,0,1,1
credi,credit,delete_last_letter,last1,1,6,5,1,1,1
credti,credit,swap_last_two_letters,last2,2,6,6,0,1,1
credeit,credit,insert_near_ending,last3,1,6,7,-1,1,1
crediyt,credit,insert_near_ending,last3,1,6,7,-1,1,1
credit,credit,no_typo,none,0,6,6,0,1,0
reffnd,refund,replace_last_letter,last3,1,6,6,0,1,1
refnd,refund,delete_last_letter,last3,1,6,5,1,1,1
refusd,refund,replace_last_letter,last2,1,6,6,0,1,1
refud,refund,delete_last_letter,last2,1,6,5,1,1,1
refunz,refund,replace_last_letter,last1,1,6,6,0,1,1
refun,refund,delete_last_letter,last1,1,6,5,1,1,1
refudn,refund,swap_last_two_letters,last2,2,6,6,0,1,1
reftund,refund,insert_near_ending,last3,1,6,7,-1,1,1
refunpd,refund,insert_near_ending,last3,1,6,7,-1,1,1
refund,refund,no_typo,none,0,6,6,0,1,0
paymant,payment,replace_last_letter,last3,1,7,7,0,1,1
paymnt,payment,delete_last_letter,last3,1,7,6,1,1,1
paymedt,payment,replace_last_letter,last2,1,7,7,0,1,1
paymet,payment,delete_last_letter,last2,1,7,6,1,1,1
paymenl,payment,replace_last_letter,last1,1,7,7,0,1,1
paymen,payment,delete_last_letter,last1,1,7,6,1,1,1
paymetn,payment,swap_last_two_letters,last2,2,7,7,0,1,1
paymenht,payment,insert_near_ending,last3,1,7,8,-1,1,1
paymhent,payment,insert_near_ending,last3,1,7,8,-1,1,1
payment,payment,no_typo,none,0,7,7,0,1,0
accosnt,account,replace_last_letter,last3,1,7,7,0,1,1
accont,account,delete_last_letter,last3,1,7,6,1,1,1
accouct,account,replace_last_letter,last2,1,7,7,0,1,1
accout,account,delete_last_letter,last2,1,7,6,1,1,1
accounc,account,replace_last_letter,last1,1,7,7,0,1,1
accoun,account,delete_last_letter,last1,1,7,6,1,1,1
accoutn,account,swap_last_two_letters,last2,2,7,7,0,1,1
accountc,account,insert_near_ending,last3,1,7,8,-1,1,1
accouent,account,insert_near_ending,last3,1,7,8,-1,1,1
account,account,no_typo,none,0,7,7,0,1,0
passwwrd,password,replace_last_letter,last3,1,8,8,0,1,1
passwrd,password,delete_last_letter,last3,1,8,7,1,1,1
passwopd,password,replace_last_letter,last2,1,8,8,0,1,1
passwod,password,delete_last_letter,last2,1,8,7,1,1,1
passwors,password,replace_last_letter,last1,1,8,8,0,1,1
passwor,password,delete_last_letter,last1,1,8,7,1,1,1
passwodr,password,swap_last_two_letters,last2,2,8,8,0,1,1
passwoird,password,insert_near_ending,last3,1,8,9,-1,1,1
passwordg,password,insert_near_ending,last3,1,8,9,-1,1,1
password,password,no_typo,none,0,8,8,0,1,0
weatser,weather,replace_last_letter,last3,1,7,7,0,1,1
weater,weather,delete_last_letter,last3,1,7,6,1,1,1
weathzr,weather,replace_last_letter,last2,1,7,7,0,1,1
weathr,weather,delete_last_letter,last2,1,7,6,1,1,1
weathey,weather,replace_last_letter,last1,1,7,7,0,1,1
weathe,weather,delete_last_letter,last1,1,7,6,1,1,1
weathre,weather,swap_last_two_letters,last2,2,7,7,0,1,1
weathwer,weather,insert_near_ending,last3,1,7,8,-1,1,1
weathemr,weather,insert_near_ending,last3,1,7,8,-1,1,1
weather,weather,no_typo,none,0,7,7,0,1,0
muwic,music,replace_last_letter,last3,1,5,5,0,1,1
muic,music,delete_last_letter,last3,1,5,4,1,1,1
musvc,music,replace_last_letter,last2,1,5,5,0,1,1
musc,music,delete_last_letter,last2,1,5,4,1,1,1
musim,music,replace_last_letter,last1,1,5,5,0,1,1
musi,music,delete_last_letter,last1,1,5,4,1,1,1
musci,music,swap_last_two_letters,last2,2,5,5,0,1,1
musicq,music,insert_near_ending,last3,1,5,6,-1,1,1
musicd,music,insert_near_ending,last3,1,5,6,-1,1,1
music,music,no_typo,none,0,5,5,0,1,0
mohie,movie,replace_last_letter,last3,1,5,5,0,1,1
moie,movie,delete_last_letter,last3,1,5,4,1,1,1
movhe,movie,replace_last_letter,last2,1,5,5,0,1,1
move,movie,delete_last_letter,last2,1,5,4,1,1,1
movic,movie,replace_last_letter,last1,1,5,5,0,1,1
movi,movie,delete_last_letter,last1,1,5,4,1,1,1
movei,movie,swap_last_two_letters,last2,2,5,5,0,1,1
moviae,movie,insert_near_ending,last3,1,5,6,-1,1,1
movsie,movie,insert_near_ending,last3,1,5,6,-1,1,1
movie,movie,no_typo,none,0,5,5,0,1,0
bhok,book,replace_last_letter,last3,1,4,4,0,1,1
bok,book,delete_last_letter,last3,1,4,3,1,1,1
boak,book,replace_last_letter,last2,1,4,4,0,1,1
booc,book,replace_last_letter,last1,1,4,4,0,1,1
boo,book,delete_last_letter,last1,1,4,3,1,1,1
boko,book,swap_last_two_letters,last2,2,4,4,0,1,1
bhook,book,insert_near_ending,last3,1,4,5,-1,1,1
bbook,book,insert_near_ending,last3,1,4,5,-1,1,1
book,book,no_typo,none,0,4,4,0,1,0
langulge,language,replace_last_letter,last3,1,8,8,0,1,1
languge,language,delete_last_letter,last3,1,8,7,1,1,1
languace,language,replace_last_letter,last2,1,8,8,0,1,1
languae,language,delete_last_letter,last2,1,8,7,1,1,1
languagr,language,replace_last_letter,last1,1,8,8,0,1,1
languag,language,delete_last_letter,last1,1,8,7,1,1,1
languaeg,language,swap_last_two_letters,last2,2,8,8,0,1,1
languaige,language,insert_near_ending,last3,1,8,9,-1,1,1
languageg,language,insert_near_ending,last3,1,8,9,-1,1,1
language,language,no_typo,none,0,8,8,0,1,0
englssh,english,replace_last_letter,last3,1,7,7,0,1,1
englsh,english,delete_last_letter,last3,1,7,6,1,1,1
englieh,english,replace_last_letter,last2,1,7,7,0,1,1
englih,english,delete_last_letter,last2,1,7,6,1,1,1
englisy,english,replace_last_letter,last1,1,7,7,0,1,1
englis,english,delete_last_letter,last1,1,7,6,1,1,1
englihs,english,swap_last_two_letters,last2,2,7,7,0,1,1
englishh,english,insert_near_ending,last3,1,7,8,-1,1,1
englishz,english,insert_near_ending,last3,1,7,8,-1,1,1
english,english,no_typo,none,0,7,7,0,1,0
mornong,morning,replace_last_letter,last3,1,7,7,0,1,1
mornng,morning,delete_last_letter,last3,1,7,6,1,1,1
mornigg,morning,replace_last_letter,last2,1,7,7,0,1,1
mornig,morning,delete_last_letter,last2,1,7,6,1,1,1
mornind,morning,replace_last_letter,last1,1,7,7,0,1,1
mornin,morning,delete_last_letter,last1,1,7,6,1,1,1
mornign,morning,swap_last_two_letters,last2,2,7,7,0,1,1
mornving,morning,insert_near_ending,last3,1,7,8,-1,1,1
morningl,morning,insert_near_ending,last3,1,7,8,-1,1,1
morning,morning,no_typo,none,0,7,7,0,1,0
evenong,evening,replace_last_letter,last3,1,7,7,0,1,1
evenng,evening,delete_last_letter,last3,1,7,6,1,1,1
eveniog,evening,replace_last_letter,last2,1,7,7,0,1,1
evenig,evening,delete_last_letter,last2,1,7,6,1,1,1
eveninp,evening,replace_last_letter,last1,1,7,7,0,1,1
evenin,evening,delete_last_letter,last1,1,7,6,1,1,1
evenign,evening,swap_last_two_letters,last2,2,7,7,0,1,1
evenving,evening,insert_near_ending,last3,1,7,8,-1,1,1
evenbing,evening,insert_near_ending,last3,1,7,8,-1,1,1
evening,evening,no_typo,none,0,7,7,0,1,0
ninht,night,replace_last_letter,last3,1,5,5,0,1,1
niht,night,delete_last_letter,last3,1,5,4,1,1,1
nigyt,night,replace_last_letter,last2,1,5,5,0,1,1
nigt,night,delete_last_letter,last2,1,5,4,1,1,1
nighk,night,replace_last_letter,last1,1,5,5,0,1,1
nigh,night,delete_last_letter,last1,1,5,4,1,1,1
nigth,night,swap_last_two_letters,last2,2,5,5,0,1,1
nihght,night,insert_near_ending,last3,1,5,6,-1,1,1
nigght,night,insert_near_ending,last3,1,5,6,-1,1,1
night,night,no_typo,none,0,5,5,0,1,0
tosay,today,replace_last_letter,last3,1,5,5,0,1,1
toay,today,delete_last_letter,last3,1,5,4,1,1,1
todpy,today,replace_last_letter,last2,1,5,5,0,1,1
tody,today,delete_last_letter,last2,1,5,4,1,1,1
todae,today,replace_last_letter,last1,1,5,5,0,1,1
toda,today,delete_last_letter,last1,1,5,4,1,1,1
todya,today,swap_last_two_letters,last2,2,5,5,0,1,1
todayf,today,insert_near_ending,last3,1,5,6,-1,1,1
todaoy,today,insert_near_ending,last3,1,5,6,-1,1,1
today,today,no_typo,none,0,5,5,0,1,0
tomorhow,tomorrow,replace_last_letter,last3,1,8,8,0,1,1
tomorow,tomorrow,delete_last_letter,last3,1,8,7,1,1,1
tomorrcw,tomorrow,replace_last_letter,last2,1,8,8,0,1,1
tomorrw,tomorrow,delete_last_letter,last2,1,8,7,1,1,1
tomorroo,tomorrow,replace_last_letter,last1,1,8,8,0,1,1
tomorro,tomorrow,delete_last_letter,last1,1,8,7,1,1,1
tomorrwo,tomorrow,swap_last_two_letters,last2,2,8,8,0,1,1
tomorbrow,tomorrow,insert_near_ending,last3,1,8,9,-1,1,1
tomorcrow,tomorrow,insert_near_ending,last3,1,8,9,-1,1,1
tomorrow,tomorrow,no_typo,none,0,8,8,0,1,0
yesterzay,yesterday,replace_last_letter,last3,1,9,9,0,1,1
yesteray,yesterday,delete_last_letter,last3,1,9,8,1,1,1
yesterdiy,yesterday,replace_last_letter,last2,1,9,9,0,1,1
yesterdy,yesterday,delete_last_letter,last2,1,9,8,1,1,1
yesterdaf,yesterday,replace_last_letter,last1,1,9,9,0,1,1
yesterda,yesterday,delete_last_letter,last1,1,9,8,1,1,1
yesterdya,yesterday,swap_last_two_letters,last2,2,9,9,0,1,1
yesterdayp,yesterday,insert_near_ending,last3,1,9,10,-1,1,1
yesterdayg,yesterday,insert_near_ending,last3,1,9,10,-1,1,1
yesterday,yesterday,no_typo,none,0,9,9,0,1,0
importnnt,important,replace_last_letter,last3,1,9,9,0,1,1
importnt,important,delete_last_letter,last3,1,9,8,1,1,1
importabt,important,replace_last_letter,last2,1,9,9,0,1,1
importat,important,delete_last_letter,last2,1,9,8,1,1,1
importanf,important,replace_last_letter,last1,1,9,9,0,1,1
importan,important,delete_last_letter,last1,1,9,8,1,1,1
importatn,important,swap_last_two_letters,last2,2,9,9,0,1,1
importanta,important,insert_near_ending,last3,1,9,10,-1,1,1
importanti,important,insert_near_ending,last3,1,9,10,-1,1,1
important,important,no_typo,none,0,9,9,0,1,0
simole,simple,replace_last_letter,last3,1,6,6,0,1,1
simle,simple,delete_last_letter,last3,1,6,5,1,1,1
simpje,simple,replace_last_letter,last2,1,6,6,0,1,1
simpe,simple,delete_last_letter,last2,1,6,5,1,1,1
simplo,simple,replace_last_letter,last1,1,6,6,0,1,1
simpl,simple,delete_last_letter,last1,1,6,5,1,1,1
simpel,simple,swap_last_two_letters,last2,2,6,6,0,1,1
simplee,simple,insert_near_ending,last3,1,6,7,-1,1,1
simpjle,simple,insert_near_ending,last3,1,6,7,-1,1,1
simple,simple,no_typo,none,0,6,6,0,1,0
examgle,example,replace_last_letter,last3,1,7,7,0,1,1
examle,example,delete_last_letter,last3,1,7,6,1,1,1
exampbe,example,replace_last_letter,last2,1,7,7,0,1,1
exampe,example,delete_last_letter,last2,1,7,6,1,1,1
examplt,example,replace_last_letter,last1,1,7,7,0,1,1
exampl,example,delete_last_letter,last1,1,7,6,1,1,1
exampel,example,swap_last_two_letters,last2,2,7,7,0,1,1
examxple,example,insert_near_ending,last3,1,7,8,-1,1,1
examplbe,example,insert_near_ending,last3,1,7,8,-1,1,1
example,example,no_typo,none,0,7,7,0,1,0
corrbct,correct,replace_last_letter,last3,1,7,7,0,1,1
corrct,correct,delete_last_letter,last3,1,7,6,1,1,1
corrett,correct,replace_last_letter,last2,1,7,7,0,1,1
corret,correct,delete_last_letter,last2,1,7,6,1,1,1
correcp,correct,replace_last_letter,last1,1,7,7,0,1,1
correc,correct,delete_last_letter,last1,1,7,6,1,1,1
corretc,correct,swap_last_two_letters,last2,2,7,7,0,1,1
correbct,correct,insert_near_ending,last3,1,7,8,-1,1,1
corrfect,correct,insert_near_ending,last3,1,7,8,-1,1,1
correct,correct,no_typo,none,0,7,7,0,1,0
mistdke,mistake,replace_last_letter,last3,1,7,7,0,1,1
mistke,mistake,delete_last_letter,last3,1,7,6,1,1,1
mistaue,mistake,replace_last_letter,last2,1,7,7,0,1,1
mistae,mistake,delete_last_letter,last2,1,7,6,1,1,1
mistakc,mistake,replace_last_letter,last1,1,7,7,0,1,1
mistak,mistake,delete_last_letter,last1,1,7,6,1,1,1
mistaek,mistake,swap_last_two_letters,last2,2,7,7,0,1,1
mistamke,mistake,insert_near_ending,last3,1,7,8,-1,1,1
mistsake,mistake,insert_near_ending,last3,1,7,8,-1,1,1
mistake,mistake,no_typo,none,0,7,7,0,1,0
erhor,error,replace_last_letter,last3,1,5,5,0,1,1
eror,error,delete_last_letter,last3,1,5,4,1,1,1
errtr,error,replace_last_letter,last2,1,5,5,0,1,1
errr,error,delete_last_letter,last2,1,5,4,1,1,1
errou,error,replace_last_letter,last1,1,5,5,0,1,1
erro,error,delete_last_letter,last1,1,5,4,1,1,1
errro,error,swap_last_two_letters,last2,2,5,5,0,1,1
ertror,error,insert_near_ending,last3,1,5,6,-1,1,1
ernror,error,insert_near_ending,last3,1,5,6,-1,1,1
error,error,no_typo,none,0,5,5,0,1,0
functwon,function,replace_last_letter,last3,1,8,8,0,1,1
functon,function,delete_last_letter,last3,1,8,7,1,1,1
functitn,function,replace_last_letter,last2,1,8,8,0,1,1
functin,function,delete_last_letter,last2,1,8,7,1,1,1
functiot,function,replace_last_letter,last1,1,8,8,0,1,1
functio,function,delete_last_letter,last1,1,8,7,1,1,1
functino,function,swap_last_two_letters,last2,2,8,8,0,1,1
functioin,function,insert_near_ending,last3,1,8,9,-1,1,1
functivon,function,insert_near_ending,last3,1,8,9,-1,1,1
function,function,no_typo,none,0,8,8,0,1,0
variaxle,variable,replace_last_letter,last3,1,8,8,0,1,1
variale,variable,delete_last_letter,last3,1,8,7,1,1,1
variabke,variable,replace_last_letter,last2,1,8,8,0,1,1
variabe,variable,delete_last_letter,last2,1,8,7,1,1,1
variabli,variable,replace_last_letter,last1,1,8,8,0,1,1
